unique_carrier,airline_id,unique_carrier_entity,carrier_name,carrier_group,carrier_group_new,carrier_region
KS,20225,6975,Peninsula Airways Inc.,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
KS,20225,6975,Peninsula Airways Inc.,1,5,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
AX,20237,6904,Trans States Airlines,1,5,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
AX,20237,6904,Trans States Airlines,1,5,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
ZK,20358,6932,Great Lakes Airlines,1,6,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
ZK,20358,6932,Great Lakes Airlines,1,6,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
EV,20366,6085,ExpressJet Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
EV,20366,6085,ExpressJet Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
QX,19687,6580,Horizon Air,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G4,20368,6035,Allegiant Air,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
QX,19687,6580,Horizon Air,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G4,20368,6035,Allegiant Air,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
EV,20366,6085,ExpressJet Airlines Inc.,3,3,D
YV,20378,6689,Mesa Airlines Inc.,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
YX,20452,6003,Republic Airlines,2,2,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
YX,20452,6003,Republic Airlines,2,2,D
G4,20368,6035,Allegiant Air,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
EV,20366,6085,ExpressJet Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YV,20378,6689,Mesa Airlines Inc.,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
G4,20368,6035,Allegiant Air,3,3,D
G4,20368,6035,Allegiant Air,3,3,D
G4,20368,6035,Allegiant Air,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
G4,20368,6035,Allegiant Air,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
YX,20452,6003,Republic Airlines,2,2,D
G4,20368,6035,Allegiant Air,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
YX,20452,6003,Republic Airlines,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
AX,20237,6904,Trans States Airlines,1,5,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
AX,20237,6904,Trans States Airlines,1,5,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
YX,20452,6003,Republic Airlines,2,2,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YV,20378,6689,Mesa Airlines Inc.,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
YX,20452,6003,Republic Airlines,2,2,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
G4,20368,6035,Allegiant Air,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AJQ,20354,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G4,20368,6035,Allegiant Air,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
YV,20378,6689,Mesa Airlines Inc.,2,2,D
YX,20452,6003,Republic Airlines,2,2,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AJQ,20354,6081,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
EV,20366,6085,ExpressJet Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
AX,20237,6904,Trans States Airlines,1,5,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
AX,20237,6904,Trans States Airlines,1,5,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
AX,20237,6904,Trans States Airlines,1,5,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
SY,20422,6795,Sun Country Airlines d/b/a MN Airlines,2,2,D
YX,20452,6003,Republic Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
SY,20422,6795,Sun Country Airlines d/b/a MN Airlines,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
