unique_carrier,airline_id,unique_carrier_entity,carrier_name,carrier_group,carrier_group_new,carrier_region
WN,19393,6725,Southwest Airlines Co.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
YX,20452,6003,Republic Airlines,2,2,D
NK,20416,6830,Spirit Air Lines,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
YV,20378,6689,Mesa Airlines Inc.,2,2,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
MQ,20398,6820,Envoy Air,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
MQ,20398,6820,Envoy Air,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
YV,20378,6689,Mesa Airlines Inc.,2,2,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
G7,20500,7041,GoJet Airlines LLC d/b/a United Express,2,2,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
B6,20409,6673,JetBlue Airways,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
B6,20409,6673,JetBlue Airways,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
B6,20409,6673,JetBlue Airways,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
B6,20409,6673,JetBlue Airways,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
NK,20416,6830,Spirit Air Lines,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
VX,21171,1006,Virgin America,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
VX,21171,1006,Virgin America,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
OO,20304,6700,SkyWest Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AS,19930,6031,Alaska Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
AS,19930,6031,Alaska Airlines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
